District,Month,Year,Description,Keywords
Srikakulam,April,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of April in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'April', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,May,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of May in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'May', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,June,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of June in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'June', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,July,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of July in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'July', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,August,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of August in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'August', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,September,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of September in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'September', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,October,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of October in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'October', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,November,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of November in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'November', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,December,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of December in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'December', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,January,2014-15,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of January in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'January', '2014-15', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'General Education', 'Medical and Public Health', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Secondary Education', 'Welfare of Scheduled Castes', 'Public Health', 'Surveys and Statistics', 'Direction and Administration', 'Education', 'Government Colleges and Institutes', 'Child Welfare', 'Legal Advisors and Counsels', 'Industrial Training Institutes', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Educational Institutions', 'District Police Force', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
