District,Month,Year,Description,Keywords
Anantapur,April,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of April in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'April', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,May,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of May in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'May', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,June,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of June in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'June', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,July,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of July in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'July', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,August,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of August in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'August', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,September,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of September in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'September', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,October,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of October in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'October', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,November,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of November in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'November', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,December,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of December in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'December', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Anantapur,January,2014-15,The dataset provides the details of disbursement of the Anantapur district treasury for the month of January in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Anantapur', 'January', '2014-15', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Police', 'Administration of Justice', 'Social Welfare', 'Public Health', 'Secondary Education', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Child Welfare', 'Government Colleges and Institutes', 'Polytechnics', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'District Police Force', 'Educational Institutions', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
