District,Month,Year,Description,Keywords
Chittoor,April,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of April in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'April', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,May,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of May in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'May', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,June,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of June in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'June', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,July,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of July in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'July', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,August,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of August in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'August', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,September,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of September in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'September', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,October,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of October in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'October', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,November,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of November in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'November', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,December,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of December in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'December', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
Chittoor,January,2014-15,The dataset provides the details of disbursement of the Chittoor district treasury for the month of January in the fiscal year 2014-15.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'January', '2014-15', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Administration of Justice', 'Labour and Employment', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'Urban Health Services - Allopathy', 'Direction and Administration', 'Education', 'Polytechnics', 'Government Colleges and Institutes', 'Child Welfare', 'Correctional Services', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Dispensaries', 'Headquarters Office']"
