District,Month,Year,Description,Keywords
Guntur,April,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of April in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'April', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,May,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of May in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'May', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,June,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of June in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'June', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,July,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of July in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'July', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,August,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of August in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'August', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,September,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of September in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'September', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,October,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of October in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'October', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,November,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of November in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'November', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,December,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of December in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'December', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,January,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of January in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'January', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
Guntur,February,2015-16,The dataset provides the details of disbursement of the Guntur district treasury for the month of February in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Guntur', 'February', '2015-16', 'Medical and Public Health', 'Social Security and Welfare', 'General Education', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Labour and Employment', 'Police', 'Social Welfare', 'Public Health', 'Secondary Education', 'Surveys and Statistics', 'Welfare of Scheduled Castes', 'University and Higher Education', 'Direction and Administration', 'Education', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Child Welfare', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'District Police Force']"
