District,Month,Year,Description,Keywords
Chittoor,April,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of April in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'April', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,May,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of May in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'May', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,June,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of June in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'June', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,July,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of July in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'July', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,August,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of August in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'August', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,September,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of September in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'September', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,October,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of October in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'October', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,November,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of November in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'November', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,December,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of December in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'December', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,January,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of January in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'January', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,February,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of February in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'February', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
Chittoor,March,2015-16,The dataset provides the details of disbursement of the Chittoor district treasury for the month of March in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Chittoor', 'March', '2015-16', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Public Health', 'Welfare of Scheduled Castes', 'Surveys and Statistics', 'Secondary Education', 'Forestry', 'Direction and Administration', 'Education', 'Polytechnics', 'Child Welfare', 'Legal Advisors and Counsels', 'Government Colleges and Institutes', 'District Offices', 'Regional Offices', 'Government Hostels', 'Headquarters Office', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes', 'Industrial Training Institutes']"
