District,Month,Year,Description,Keywords
Srikakulam,April,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of April in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'April', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,May,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of May in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'May', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,June,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of June in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'June', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,July,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of July in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'July', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,August,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of August in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'August', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,September,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of September in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'September', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,October,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of October in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'October', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,November,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of November in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'November', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,December,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of December in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'December', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
Srikakulam,January,2015-16,The dataset provides the details of disbursement of the Srikakulam district treasury for the month of January in the fiscal year 2015-16.,"['District Treasury', 'Andhra Pradesh', 'Srikakulam', 'January', '2015-16', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Medical and Public Health', 'General Education', 'Social Security and Welfare', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Secondary Education', 'Surveys and Statistics', 'Public Health', 'Direction and Administration', 'Education', 'Child Welfare', 'Government Colleges and Institutes', 'Economic Development', 'Legal Advisors and Counsels', 'District Offices', 'Government Hostels', 'Industrial Training Institutes', 'Headquarters Office', 'Economic Support Schemes', 'Special Criminal Courts dealing with Offences under the Indian Penal Code and Protection of Civil Rights Act,1955 against Scheduled Castes and Scheduled Tribes']"
